loan_id,application_id,client_id,application_date,disbursement_date,target_default_90dpd_12m,target_ever30_6m,max_observed_mob,max_dpd_12m,first_90dpd_mob,age_at_application,client_tenure_days,gender,marital_status,education_level,region_code,city_type,residence_type,dependents_count,citizenship_flag,segment,is_existing_customer,phone_normalized_flag,email_valid_flag,contact_employer_industry,product_type,channel,branch_code,digital_channel,requested_amount,requested_term_months,purpose_code,promo_flag,refinance_flag,repeat_application_flag,application_region,device_type,utm_source,campaign_id,bureau_score,active_loans_count,closed_loans_count,delinquency_30_12m,delinquency_60_12m,delinquency_90_24m,max_dpd_24m,inquiries_30d,inquiries_90d,outstanding_debt,total_limit,utilization_rate,oldest_trade_months,bureau_file_thin_flag,external_collections_flag,employment_type,income_employer_industry,job_tenure_months,total_work_experience_months,declared_income,verified_income,other_income,income_stability_score,salary_project_flag,pension_contrib_months_12m,debt_to_income_est,expense_to_income_est,device_risk_score,doc_mismatch_flag,synthetic_identity_flag,fraud_suspect_flag,verification_status,aml_pep_flag,blacklist_hit_flag,principal_amount,term_months,interest_rate,monthly_payment_amount,origination_fee,insurance_fee,base_rate,inflation_index,unemployment_proxy,fx_stress_index,consumer_confidence_proxy,stress_regime_flag,engine_scorecard_score,engine_pd_estimate,engine_risk_grade,engine_policy_version,engine_offered_amount,engine_offered_term_months,engine_offered_rate,engine_rule_hits_count,income_verification_gap,income_verification_ratio,requested_amount_to_income,principal_amount_to_income,bureau_debt_to_income,calculated_bureau_utilization,ead_proxy_12m,collections_actions_count,total_recovered_amount,ever_contact_success_flag,lgd_proxy
6112,34393,5596,2022-01-01,2022-01-06,0,0,17,0,,59,-141,male,single,bachelor,turkistan,urban,owned,1,1,self_employed,0,1,1,agriculture,cash_loan,branch,BR_023,,1048010.45,18,electronics,0,0,0,turkistan,,,,660.0,1,5,0,0,0,11,0,3.0,263319.42,678168.61,0.4123,58.0,0,0,self_employed,education,16,40,280089.41,222076.05,0.0,40,0,9.0,0.328,0.433,34.34,0,0,0,passed,0,0,1091816.8,18,0.2927,75668.56,31037.98,22466.4,14.25,100.5,4.73,41.61,103.76,0,730,0.02231,B,policy_v1_growth,1100410.97,18,0.2927,0,58013.36,0.7928755678409977,4.719151164657332,4.916409491253109,1.1857173252135924,0.38828016531169146,1036776.99,0,0.0,0,1.0
47495,53011,42902,2022-01-01,2022-01-06,0,0,17,0,,46,93,male,married,secondary,shymkent,semi_urban,owned,1,1,self_employed,1,1,1,oil_and_gas,credit_line,branch,BR_032,,866449.67,24,travel,0,0,0,shymkent,,,,617.0,1,4,0,0,0,9,2,3.0,107974.61,1031331.38,0.0737,27.0,0,0,contractor,oil_and_gas,42,56,172388.53,128927.19,0.0,55,1,9.0,0.3265,0.2996,33.57,0,0,0,passed,0,0,905979.07,24,0.3151,51362.69,11002.39,0.0,14.25,100.5,4.73,41.61,103.76,0,757,0.01754,A,policy_v1_growth,909772.15,24,0.3151,0,43461.34,0.7478872869326051,6.720457259636233,7.027059769161183,0.8374851728328214,0.10469439027444312,880790.39,0,0.0,0,1.0
63652,20867,57753,2022-01-01,2022-01-04,0,0,16,0,,18,-315,male,single,bachelor,atyrau,metro,owned,0,1,salaried,0,1,1,education,installment_loan,partner_pos,BR_014,,174503.58,24,working_capital,0,0,0,atyrau,ios,,,700.0,5,5,0,1,0,69,2,3.0,664261.32,1133442.58,0.2736,105.0,0,0,formal_salaried,oil_and_gas,20,31,166986.71,147199.33,0.0,67,1,12.0,0.3001,0.3613,22.04,0,0,0,not_required,0,0,180664.16,24,0.189,9098.26,2827.46,0.0,14.25,100.5,4.73,41.61,103.76,0,794,0.01216,A,policy_v1_growth,183228.76,24,0.189,0,19787.38,0.8815032645412321,1.1854916730938925,1.2273436298928806,4.512665376941594,0.5860564370186269,173029.11,0,0.0,0,1.0
66498,33258,60361,2022-01-01,2022-01-03,0,0,20,0,,27,115,male,single,secondary,karaganda,urban,family_owned,1,1,salaried,1,1,0,it_services,credit_line,mobile_app,,android_app,546483.01,24,other,0,0,0,karaganda,desktop,social,,681.0,2,1,0,0,0,10,0,0.0,167604.78,860914.0,0.1697,21.0,0,0,unemployed,,14,113,170903.42,143381.6,0.0,43,1,5.0,0.2237,0.3698,47.69,1,0,0,manual_review,0,0,556410.02,24,0.2866,30727.95,8052.5,0.0,14.25,100.5,4.73,41.61,103.76,0,777,0.01293,A,policy_v1_growth,573807.16,24,0.2866,0,27521.82,0.8389627311144505,3.811388699805275,3.8806235946592866,1.1689420399828152,0.19468237245532075,541712.76,0,0.0,0,1.0
69723,107339,63266,2022-01-01,2022-01-05,0,0,15,0,,23,-301,female,divorced,master,almaty,semi_urban,owned,0,1,thin_file,1,1,1,construction,cash_loan,branch,BR_007,,868207.21,24,consumer_purchase,0,0,0,almaty,,,,626.0,1,0,1,0,0,49,0,3.0,82377.42,277920.03,0.1328,7.0,1,0,informal_salaried,oil_and_gas,4,56,300243.01,276558.75,0.0,36,1,4.0,0.1474,0.2089,47.42,0,0,0,passed,0,0,897011.98,24,0.273,48916.25,30033.72,0.0,14.25,100.5,4.73,41.61,103.76,0,770,0.01363,A,policy_v1_growth,911617.57,24,0.273,2,23684.26,0.9211163650404384,3.1393228744344555,3.2434771273734784,0.297865896486732,0.29640691964519433,870387.42,0,0.0,0,1.0
12251,135450,11156,2022-01-01,2022-01-02,0,0,12,0,,43,-683,male,married,bachelor,atyrau,semi_urban,owned,0,1,salaried,1,1,1,public_sector,cash_loan,web,,web_portal,655907.53,24,electronics,0,0,0,atyrau,,crm_push,,772.0,0,3,0,0,0,11,0,2.0,144612.11,907283.34,0.1594,18.0,0,0,unemployed,,13,88,295279.83,276698.84,0.0,54,1,10.0,0.1278,0.2573,39.79,1,0,0,manual_review,0,0,662787.19,24,0.2864,36595.9,16565.52,1205.01,14.25,100.5,4.73,41.61,103.76,0,888,0.012,A,policy_v1_growth,688702.91,24,0.2864,0,18580.99,0.9370732840099508,2.370474447959377,2.3953377975852734,0.5226335968737708,0.15939024075984906,642942.42,0,0.0,0,1.0
21090,144197,19101,2022-01-01,2022-01-07,0,0,16,0,,31,-277,male,married,master,aktobe,metro,rented,0,1,risky_repeat,1,1,1,oil_and_gas,installment_loan,branch,BR_028,,640005.68,9,debt_consolidation,1,0,0,aktobe,,,,479.0,0,2,0,1,0,65,0,2.0,224575.8,256480.12,0.8756,31.0,0,0,formal_salaried,public_sector,25,97,484343.01,310233.23,0.0,65,1,11.0,0.2694,0.4188,62.7,0,0,0,passed,0,0,633270.88,9,0.1965,76249.16,13484.21,10622.21,14.25,100.5,4.73,41.61,103.76,0,707,0.0255,B,policy_v1_growth,640185.0,9,0.1965,0,174109.78,0.6405238097686183,2.062982356854551,2.041273528306429,0.7238934397839973,0.8756070450996358,568713.94,0,0.0,0,1.0
42230,75741,38247,2022-01-01,2022-01-02,0,0,17,0,,43,-714,male,widowed,other,east_kz,metro,family_owned,2,1,new_to_credit,0,1,1,construction,installment_loan,partner_pos,BR_064,,246554.0,18,debt_consolidation,0,0,0,east_kz,android,,,633.0,1,2,2,1,0,71,0,3.0,144842.43,223259.2,0.6806,17.0,1,0,formal_salaried,oil_and_gas,20,54,195485.22,202949.32,5966.0,56,1,9.0,0.1053,0.4348,41.83,0,0,0,passed,0,0,252089.32,18,0.1825,16114.81,1799.22,2739.33,14.25,100.5,4.73,41.61,103.76,0,740,0.01832,B,policy_v1_growth,258881.7,18,0.1825,2,-7464.1,1.0381824262724313,1.2148550189771514,1.2421294143779344,0.7136876832107641,0.6487635447945707,240456.29,0,0.0,0,1.0
46900,16246,42376,2022-01-01,2022-01-07,0,0,24,19,,41,98,male,divorced,bachelor,east_kz,metro,owned,0,1,thin_file,0,1,1,finance,cash_loan,branch,BR_003,,196342.3,30,consumer_purchase,0,0,0,east_kz,,,,626.0,0,1,0,0,0,9,0,1.0,5765.19,44721.22,0.1289,6.0,1,0,unemployed,,6,13,99528.17,100079.53,29828.31,49,1,8.0,0.0582,0.2759,47.04,0,0,0,not_required,0,0,205054.96,30,0.2952,9744.87,5950.84,2289.41,14.25,100.5,4.73,41.61,103.76,0,806,0.012,A,policy_v1_growth,206159.42,30,0.2952,1,-551.36,1.0055397381464966,1.9618627305703773,2.0489200938493615,0.05760608587989972,0.1289139696993955,200680.79,1,0.0,0,1.0
83941,131454,76215,2022-01-01,2022-01-07,1,1,11,171,5.0,34,-850,male,single,secondary,east_kz,urban,rented,0,1,thin_file,0,1,1,public_sector,installment_loan,partner_pos,BR_041,,160638.06,9,medical,0,0,0,east_kz,ios,,,619.0,1,0,1,0,0,21,0,4.0,21379.76,132619.69,0.2467,0.0,1,0,contractor,oil_and_gas,29,30,105845.04,72298.37,10682.62,58,1,10.0,0.2419,0.2932,49.24,0,0,0,manual_review,0,0,160876.67,6,0.1952,28359.84,1097.89,2534.61,14.25,100.5,4.73,41.61,103.76,0,733,0.0212,B,policy_v1_growth,168669.96,6,0.1952,3,33546.67,0.6830586487567107,2.2218766481180694,2.2251769991494967,0.2957156572132954,0.16121105395435625,137641.37,13,57548.98,1,0.5818918396409452
