feature,importance
num__bureau_file_thin_flag,0.3586532242694228
num__debt_to_income_est,0.15275071564188414
num__delinquency_30_12m,0.12258795500242514
num__delinquency_60_12m,0.08678054934828461
num__requested_amount_to_income,0.06693070189427153
num__monthly_payment_amount,0.047883283297205724
num__verified_income,0.03704519253336659
num__device_risk_score,0.03197849554261056
num__bureau_score,0.028485395598056254
num__bureau_debt_to_income,0.025523897331893947
num__base_rate,0.02494883707679011
num__declared_income,0.016431752463788613
num__is_existing_customer,0.0
num__repeat_application_flag,0.0
num__citizenship_flag,0.0
num__dependents_count,0.0
num__phone_normalized_flag,0.0
num__requested_term_months,0.0
num__promo_flag,0.0
num__requested_amount,0.0
num__email_valid_flag,0.0
num__outstanding_debt,0.0
num__inquiries_90d,0.0
num__inquiries_30d,0.0
num__delinquency_90_24m,0.0
num__active_loans_count,0.0
num__closed_loans_count,0.0
num__refinance_flag,0.0
num__utilization_rate,0.0
num__job_tenure_months,0.0
num__total_work_experience_months,0.0
num__other_income,0.0
num__income_stability_score,0.0
num__pension_contrib_months_12m,0.0
num__salary_project_flag,0.0
num__oldest_trade_months,0.0
num__total_limit,0.0
num__doc_mismatch_flag,0.0
num__expense_to_income_est,0.0
num__aml_pep_flag,0.0
num__synthetic_identity_flag,0.0
num__blacklist_hit_flag,0.0
num__principal_amount,0.0
num__term_months,0.0
num__fraud_suspect_flag,0.0
num__interest_rate,0.0
num__origination_fee,0.0
num__insurance_fee,0.0
num__inflation_index,0.0
num__unemployment_proxy,0.0
num__fx_stress_index,0.0
num__client_tenure_days,0.0
num__age_at_application,0.0
num__stress_regime_flag,0.0
num__consumer_confidence_proxy,0.0
num__income_verification_ratio,0.0
num__income_verification_gap,0.0
num__principal_amount_to_income,0.0
num__calculated_bureau_utilization,0.0
cat__gender_female,0.0
cat__gender_male,0.0
cat__gender_unknown,0.0
cat__marital_status_divorced,0.0
cat__marital_status_married,0.0
cat__marital_status_single,0.0
cat__marital_status_widowed,0.0
cat__education_level_bachelor,0.0
cat__education_level_master,0.0
cat__education_level_other,0.0
cat__education_level_secondary,0.0
cat__education_level_vocational,0.0
cat__region_code_aktobe,0.0
cat__region_code_almaty,0.0
cat__region_code_astana,0.0
cat__region_code_atyrau,0.0
cat__region_code_east_kz,0.0
cat__region_code_karaganda,0.0
cat__region_code_kostanay,0.0
cat__region_code_pavlodar,0.0
cat__region_code_shymkent,0.0
cat__region_code_turkistan,0.0
cat__region_code_west_kz,0.0
cat__region_code_zhambyl,0.0
cat__city_type_metro,0.0
cat__city_type_rural,0.0
cat__city_type_semi_urban,0.0
cat__city_type_urban,0.0
cat__residence_type_dormitory,0.0
cat__residence_type_family_owned,0.0
cat__residence_type_other,0.0
cat__residence_type_owned,0.0
cat__residence_type_rented,0.0
cat__segment_good_repeat,0.0
cat__segment_near_prime,0.0
cat__segment_new_to_credit,0.0
cat__segment_risky_repeat,0.0
cat__segment_salaried,0.0
cat__segment_self_employed,0.0
cat__segment_subprime,0.0
cat__segment_thin_file,0.0
cat__contact_employer_industry_agriculture,0.0
cat__contact_employer_industry_construction,0.0
cat__contact_employer_industry_education,0.0
cat__contact_employer_industry_finance,0.0
cat__contact_employer_industry_healthcare,0.0
cat__contact_employer_industry_hospitality,0.0
cat__contact_employer_industry_it_services,0.0
cat__contact_employer_industry_logistics,0.0
cat__contact_employer_industry_manufacturing,0.0
cat__contact_employer_industry_oil_and_gas,0.0
cat__contact_employer_industry_public_sector,0.0
cat__contact_employer_industry_retail,0.0
cat__contact_employer_industry_telecom,0.0
cat__product_type_cash_loan,0.0
cat__product_type_credit_line,0.0
cat__product_type_installment_loan,0.0
cat__channel_branch,0.0
cat__channel_mobile_app,0.0
cat__channel_partner_pos,0.0
cat__channel_web,0.0
cat__branch_code_BR_001,0.0
cat__branch_code_BR_002,0.0
cat__branch_code_BR_003,0.0
cat__branch_code_BR_004,0.0
cat__branch_code_BR_005,0.0
cat__branch_code_BR_006,0.0
cat__branch_code_BR_007,0.0
cat__branch_code_BR_008,0.0
cat__branch_code_BR_009,0.0
cat__branch_code_BR_010,0.0
cat__branch_code_BR_011,0.0
cat__branch_code_BR_012,0.0
cat__branch_code_BR_013,0.0
cat__branch_code_BR_014,0.0
cat__branch_code_BR_015,0.0
cat__branch_code_BR_016,0.0
cat__branch_code_BR_017,0.0
cat__branch_code_BR_018,0.0
cat__branch_code_BR_019,0.0
cat__branch_code_BR_020,0.0
cat__branch_code_BR_021,0.0
cat__branch_code_BR_022,0.0
cat__branch_code_BR_023,0.0
cat__branch_code_BR_024,0.0
cat__branch_code_BR_025,0.0
cat__branch_code_BR_026,0.0
cat__branch_code_BR_027,0.0
cat__branch_code_BR_028,0.0
cat__branch_code_BR_029,0.0
cat__branch_code_BR_030,0.0
cat__branch_code_BR_031,0.0
cat__branch_code_BR_032,0.0
cat__branch_code_BR_033,0.0
cat__branch_code_BR_034,0.0
cat__branch_code_BR_035,0.0
cat__branch_code_BR_036,0.0
cat__branch_code_BR_037,0.0
cat__branch_code_BR_038,0.0
cat__branch_code_BR_039,0.0
cat__branch_code_BR_040,0.0
cat__branch_code_BR_041,0.0
cat__branch_code_BR_042,0.0
cat__branch_code_BR_043,0.0
cat__branch_code_BR_044,0.0
cat__branch_code_BR_045,0.0
cat__branch_code_BR_046,0.0
cat__branch_code_BR_047,0.0
cat__branch_code_BR_048,0.0
cat__branch_code_BR_049,0.0
cat__branch_code_BR_050,0.0
cat__branch_code_BR_051,0.0
cat__branch_code_BR_052,0.0
cat__branch_code_BR_053,0.0
cat__branch_code_BR_054,0.0
cat__branch_code_BR_055,0.0
cat__branch_code_BR_056,0.0
cat__branch_code_BR_057,0.0
cat__branch_code_BR_058,0.0
cat__branch_code_BR_059,0.0
cat__branch_code_BR_060,0.0
cat__branch_code_BR_061,0.0
cat__branch_code_BR_062,0.0
cat__branch_code_BR_063,0.0
cat__branch_code_BR_064,0.0
cat__digital_channel_android_app,0.0
cat__digital_channel_ios_app,0.0
cat__digital_channel_web_portal,0.0
cat__purpose_code_consumer_purchase,0.0
cat__purpose_code_debt_consolidation,0.0
cat__purpose_code_education,0.0
cat__purpose_code_electronics,0.0
cat__purpose_code_home_repair,0.0
cat__purpose_code_medical,0.0
cat__purpose_code_other,0.0
cat__purpose_code_travel,0.0
cat__purpose_code_wedding,0.0
cat__purpose_code_working_capital,0.0
cat__application_region_aktobe,0.0
cat__application_region_almaty,0.0
cat__application_region_astana,0.0
cat__application_region_atyrau,0.0
cat__application_region_east_kz,0.0
cat__application_region_karaganda,0.0
cat__application_region_kostanay,0.0
cat__application_region_pavlodar,0.0
cat__application_region_shymkent,0.0
cat__application_region_turkistan,0.0
cat__application_region_west_kz,0.0
cat__application_region_zhambyl,0.0
cat__device_type_android,0.0
cat__device_type_desktop,0.0
cat__device_type_ios,0.0
cat__device_type_tablet,0.0
cat__utm_source_affiliate,0.0
cat__utm_source_cpa_network,0.0
cat__utm_source_crm_push,0.0
cat__utm_source_direct,0.0
cat__utm_source_seo,0.0
cat__utm_source_social,0.0
cat__campaign_id_CMP_04880,0.0
cat__campaign_id_infrequent_sklearn,0.0
cat__employment_type_contractor,0.0
cat__employment_type_formal_salaried,0.0
cat__employment_type_informal_salaried,0.0
cat__employment_type_micro_business_owner,0.0
cat__employment_type_pensioner,0.0
cat__employment_type_self_employed,0.0
cat__employment_type_unemployed,0.0
cat__income_employer_industry_agriculture,0.0
cat__income_employer_industry_construction,0.0
cat__income_employer_industry_education,0.0
cat__income_employer_industry_finance,0.0
cat__income_employer_industry_healthcare,0.0
cat__income_employer_industry_hospitality,0.0
cat__income_employer_industry_it_services,0.0
cat__income_employer_industry_logistics,0.0
cat__income_employer_industry_manufacturing,0.0
cat__income_employer_industry_oil_and_gas,0.0
cat__income_employer_industry_public_sector,0.0
cat__income_employer_industry_retail,0.0
cat__income_employer_industry_telecom,0.0
cat__verification_status_manual_review,0.0
cat__verification_status_not_required,0.0
cat__verification_status_passed,0.0
cat__verification_status_infrequent_sklearn,0.0
