feature,importance
cat__branch_code_BR_026,0.8410660930433904
cat__branch_code_BR_062,0.7511192543579364
cat__branch_code_BR_053,0.7035371594158584
cat__segment_good_repeat,0.6889944678503007
cat__segment_salaried,0.6638275104445356
cat__branch_code_BR_014,0.6630319220076984
cat__branch_code_BR_013,0.6384875161209249
cat__branch_code_BR_059,0.6293136970689435
num__inflation_index,0.5738034391640724
cat__branch_code_BR_011,0.5516224590869775
cat__branch_code_BR_045,0.5514458695388211
cat__branch_code_BR_048,0.5445373923659869
cat__branch_code_BR_047,0.5378812432599058
num__base_rate,0.5159178397150099
cat__branch_code_BR_010,0.4984335014783068
cat__branch_code_BR_042,0.49726166558873364
cat__branch_code_BR_015,0.4575929559511943
num__calculated_bureau_utilization,0.4563520665624419
cat__application_region_shymkent,0.43797255065637375
cat__branch_code_BR_058,0.4025460900236856
num__stress_regime_flag,0.39985194438458405
cat__campaign_id_infrequent_sklearn,0.3842594988420493
cat__gender_unknown,0.3810598299659554
cat__branch_code_BR_004,0.37527044012732264
cat__branch_code_BR_009,0.3698517747898116
cat__region_code_pavlodar,0.3687458867309656
cat__residence_type_other,0.36542152183974747
cat__channel_mobile_app,0.3569501387586241
num__debt_to_income_est,0.3561656857763599
cat__product_type_credit_line,0.3530056911919534
cat__branch_code_BR_028,0.3507539917465476
cat__campaign_id_CMP_04880,0.34777320098805337
num__requested_term_months,0.3422783855704017
cat__product_type_cash_loan,0.31658779470074805
cat__channel_web,0.3126356289407556
cat__digital_channel_web_portal,0.3126356289407556
cat__branch_code_BR_040,0.31170218984414944
cat__branch_code_BR_003,0.31121496093022466
num__bureau_file_thin_flag,0.31003197747772043
cat__branch_code_BR_005,0.3028865854549342
cat__branch_code_BR_037,0.30021974538801577
cat__branch_code_BR_056,0.29858552019812323
cat__branch_code_BR_008,0.29698367619941635
cat__device_type_android,0.29660347946997095
cat__branch_code_BR_050,0.29628233243023194
cat__branch_code_BR_032,0.29581104948435005
cat__branch_code_BR_039,0.2928028758879362
num__term_months,0.29084285571967183
num__consumer_confidence_proxy,0.2885969132009441
cat__branch_code_BR_021,0.28278983721885487
cat__contact_employer_industry_telecom,0.26099217671570213
cat__contact_employer_industry_construction,0.2596038832495143
cat__branch_code_BR_012,0.25947532672562007
cat__marital_status_married,0.2568417969999543
cat__branch_code_BR_044,0.2546592621013864
cat__education_level_secondary,0.2545443379283163
cat__branch_code_BR_038,0.2531521644224335
cat__application_region_east_kz,0.25146449480432265
cat__employment_type_unemployed,0.23678536297101035
cat__verification_status_not_required,0.23531114908719383
cat__marital_status_divorced,0.22992286403328654
cat__segment_risky_repeat,0.22908175165311195
cat__utm_source_cpa_network,0.22659195211764815
cat__branch_code_BR_063,0.2257325800337449
cat__income_employer_industry_oil_and_gas,0.22210550236914103
cat__income_employer_industry_agriculture,0.21968764305025149
cat__digital_channel_android_app,0.2176784895179964
cat__utm_source_social,0.2174877493079285
cat__verification_status_passed,0.2168137452187701
cat__employment_type_informal_salaried,0.21344850509815153
cat__purpose_code_education,0.2127050586341129
cat__city_type_metro,0.20977305840421187
cat__branch_code_BR_002,0.20561879183434104
cat__segment_subprime,0.20446515970374757
cat__digital_channel_ios_app,0.20171858137134657
num__delinquency_30_12m,0.20133775784641056
cat__segment_thin_file,0.19925433339064658
num__delinquency_60_12m,0.19814100956878147
cat__branch_code_BR_022,0.19805554278144183
cat__purpose_code_wedding,0.19763160396080534
cat__city_type_urban,0.19359780414520564
cat__utm_source_direct,0.19276960837957377
cat__marital_status_single,0.1897737923171357
cat__verification_status_manual_review,0.18821622630994048
cat__gender_male,0.18590276361705602
cat__device_type_desktop,0.17702862359274726
cat__region_code_almaty,0.17502346604807162
cat__region_code_west_kz,0.1747020809165747
cat__branch_code_BR_019,0.17308712560890982
cat__device_type_tablet,0.16988224812343022
cat__city_type_semi_urban,0.16960546238320398
cat__education_level_vocational,0.16795005372940888
cat__region_code_shymkent,0.16699527280231127
cat__gender_female,0.16507010624709134
cat__application_region_pavlodar,0.16474675574364264
cat__region_code_aktobe,0.16386743808071777
cat__branch_code_BR_031,0.1598632772167951
cat__city_type_rural,0.15905637489747565
cat__branch_code_BR_051,0.15868349196514644
num__requested_amount,0.1575338015133598
cat__branch_code_BR_016,0.15658284134232806
cat__contact_employer_industry_hospitality,0.15530759395438617
cat__branch_code_BR_033,0.1551653909661009
cat__application_region_west_kz,0.15470063571185996
cat__contact_employer_industry_manufacturing,0.15350987184985188
cat__application_region_astana,0.15183822375706585
cat__region_code_turkistan,0.1507355730501263
cat__residence_type_owned,0.14978163914909506
cat__application_region_aktobe,0.14921805354956805
cat__branch_code_BR_046,0.1458518067640365
cat__branch_code_BR_055,0.14563478028810833
