feature,importance
num__bureau_file_thin_flag,0.058168154
num__delinquency_30_12m,0.01326298
num__delinquency_60_12m,0.012497532
num__bureau_score,0.012144685
cat__application_region_turkistan,0.010518164
cat__employment_type_self_employed,0.010050303
cat__region_code_east_kz,0.009935847
num__term_months,0.009806683
cat__region_code_astana,0.009620443
cat__contact_employer_industry_oil_and_gas,0.009309164
num__debt_to_income_est,0.009061608
cat__application_region_pavlodar,0.008993993
cat__income_employer_industry_telecom,0.0089749005
cat__region_code_pavlodar,0.008923341
cat__device_type_tablet,0.008854343
num__inflation_index,0.0087152235
num__requested_amount_to_income,0.00849294
num__is_existing_customer,0.00837719
cat__income_employer_industry_manufacturing,0.008212693
cat__application_region_west_kz,0.008175481
num__promo_flag,0.008100215
num__active_loans_count,0.008066176
cat__branch_code_BR_028,0.0079741785
cat__application_region_aktobe,0.0079687135
cat__verification_status_passed,0.007950856
num__principal_amount_to_income,0.007941308
num__doc_mismatch_flag,0.007850309
num__base_rate,0.0075980537
cat__campaign_id_CMP_04880,0.007415629
cat__income_employer_industry_hospitality,0.007385692
num__client_tenure_days,0.007344689
cat__branch_code_BR_002,0.0073264935
num__salary_project_flag,0.007275642
num__requested_term_months,0.007224065
cat__residence_type_owned,0.0071888342
cat__product_type_credit_line,0.0071124486
cat__gender_male,0.007057487
cat__segment_salaried,0.007047464
cat__application_region_astana,0.0069253016
cat__purpose_code_home_repair,0.006917001
num__income_stability_score,0.006896084
num__income_verification_ratio,0.006864899
num__unemployment_proxy,0.0068374504
cat__branch_code_BR_043,0.0068263425
cat__income_employer_industry_construction,0.006746795
num__requested_amount,0.006660889
cat__region_code_turkistan,0.0066040037
cat__contact_employer_industry_retail,0.0065539284
num__total_limit,0.006535348
cat__contact_employer_industry_manufacturing,0.0064620306
cat__education_level_secondary,0.006382566
num__verified_income,0.0063802274
cat__marital_status_widowed,0.0063170777
cat__segment_subprime,0.0062525556
cat__branch_code_BR_011,0.0062496946
cat__marital_status_married,0.006193195
cat__residence_type_rented,0.006169509
cat__channel_mobile_app,0.006149235
num__calculated_bureau_utilization,0.006145207
num__insurance_fee,0.006130599
cat__application_region_atyrau,0.006073965
num__inquiries_90d,0.0060718404
num__oldest_trade_months,0.0060299835
cat__branch_code_BR_016,0.0060186284
num__dependents_count,0.0059845657
num__declared_income,0.0059782974
num__other_income,0.005939955
num__job_tenure_months,0.0059302044
cat__region_code_zhambyl,0.005914803
num__principal_amount,0.0059089125
cat__utm_source_social,0.0059029446
cat__marital_status_single,0.005897244
num__monthly_payment_amount,0.00589582
num__utilization_rate,0.005797354
cat__branch_code_BR_039,0.005722351
cat__branch_code_BR_056,0.005713796
num__pension_contrib_months_12m,0.0057082833
cat__contact_employer_industry_agriculture,0.0057043475
num__device_risk_score,0.005632223
num__interest_rate,0.005564659
cat__segment_good_repeat,0.0055520097
cat__region_code_almaty,0.005538326
num__origination_fee,0.005518815
cat__branch_code_BR_014,0.0054967618
cat__device_type_desktop,0.0054932446
num__total_work_experience_months,0.0054529877
num__bureau_debt_to_income,0.005402308
cat__utm_source_affiliate,0.0053874915
cat__residence_type_family_owned,0.005365904
num__consumer_confidence_proxy,0.0053585656
num__fx_stress_index,0.0053564413
num__expense_to_income_est,0.005350561
cat__region_code_karaganda,0.0053481804
cat__branch_code_BR_015,0.005291432
cat__region_code_aktobe,0.005288371
num__outstanding_debt,0.005288179
cat__utm_source_cpa_network,0.005282326
num__closed_loans_count,0.005278974
cat__contact_employer_industry_logistics,0.005268555
cat__branch_code_BR_054,0.005241912
