feature,type
age_at_application,numeric
client_tenure_days,numeric
dependents_count,numeric
citizenship_flag,numeric
is_existing_customer,numeric
phone_normalized_flag,numeric
email_valid_flag,numeric
requested_amount,numeric
requested_term_months,numeric
promo_flag,numeric
refinance_flag,numeric
repeat_application_flag,numeric
bureau_score,numeric
active_loans_count,numeric
closed_loans_count,numeric
delinquency_30_12m,numeric
delinquency_60_12m,numeric
delinquency_90_24m,numeric
inquiries_30d,numeric
inquiries_90d,numeric
outstanding_debt,numeric
total_limit,numeric
utilization_rate,numeric
oldest_trade_months,numeric
bureau_file_thin_flag,numeric
job_tenure_months,numeric
total_work_experience_months,numeric
declared_income,numeric
verified_income,numeric
other_income,numeric
income_stability_score,numeric
salary_project_flag,numeric
pension_contrib_months_12m,numeric
debt_to_income_est,numeric
expense_to_income_est,numeric
device_risk_score,numeric
doc_mismatch_flag,numeric
synthetic_identity_flag,numeric
fraud_suspect_flag,numeric
aml_pep_flag,numeric
blacklist_hit_flag,numeric
principal_amount,numeric
term_months,numeric
interest_rate,numeric
monthly_payment_amount,numeric
origination_fee,numeric
insurance_fee,numeric
base_rate,numeric
inflation_index,numeric
unemployment_proxy,numeric
fx_stress_index,numeric
consumer_confidence_proxy,numeric
stress_regime_flag,numeric
income_verification_gap,numeric
income_verification_ratio,numeric
requested_amount_to_income,numeric
principal_amount_to_income,numeric
bureau_debt_to_income,numeric
calculated_bureau_utilization,numeric
gender,categorical
marital_status,categorical
education_level,categorical
region_code,categorical
city_type,categorical
residence_type,categorical
segment,categorical
contact_employer_industry,categorical
product_type,categorical
channel,categorical
branch_code,categorical
digital_channel,categorical
purpose_code,categorical
application_region,categorical
device_type,categorical
utm_source,categorical
campaign_id,categorical
employment_type,categorical
income_employer_industry,categorical
verification_status,categorical
