model,prediction_type,band,rows,defaults,observed_default_rate,mean_predicted_pd,min_predicted_pd,max_predicted_pd
decision_tree,raw,0,789,19,0.024081115335868188,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,1,788,20,0.025380710659898477,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,2,788,22,0.027918781725888325,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,3,788,14,0.017766497461928935,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,4,788,10,0.012690355329949238,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,5,788,10,0.012690355329949238,0.01601164483260553,0.01601164483260553,0.01601164483260553
decision_tree,raw,6,788,39,0.04949238578680203,0.023843239392277397,0.01601164483260553,0.03145130731337628
decision_tree,raw,7,788,24,0.030456852791878174,0.03507145271002548,0.03145130731337628,0.0375685943436049
decision_tree,raw,8,788,50,0.06345177664974619,0.044645477521485365,0.0375685943436049,0.050148287948234026
decision_tree,raw,9,789,54,0.06844106463878327,0.07762268801000033,0.050148287948234026,0.13602015113350127
decision_tree,calibrated,0,789,19,0.024081115335868188,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,1,788,20,0.025380710659898477,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,2,788,22,0.027918781725888325,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,3,788,14,0.017766497461928935,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,4,788,10,0.012690355329949238,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,5,788,10,0.012690355329949238,0.017082785808147174,0.017082785808147174,0.017082785808147174
decision_tree,calibrated,6,788,36,0.04568527918781726,0.028620601225431697,0.017082785808147174,0.030632411067193676
decision_tree,calibrated,7,788,29,0.03680203045685279,0.05441603698386298,0.030632411067193676,0.06300114547537228
decision_tree,calibrated,8,788,48,0.06091370558375635,0.06414898905829157,0.06300114547537228,0.065
decision_tree,calibrated,9,789,54,0.06844106463878327,0.07854511478596377,0.065,0.09340659340659341
dummy_prior,raw,0,789,32,0.04055766793409379,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,1,788,25,0.031725888324873094,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,2,788,38,0.048223350253807105,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,3,788,43,0.05456852791878172,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,4,788,30,0.03807106598984772,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,5,788,19,0.024111675126903553,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,6,788,27,0.03426395939086294,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,7,788,13,0.01649746192893401,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,8,788,17,0.021573604060913704,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,raw,9,789,18,0.022813688212927757,0.028983143012506797,0.028983143012506797,0.028983143012506797
dummy_prior,calibrated,0,789,32,0.04055766793409379,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,1,788,25,0.031725888324873094,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,2,788,38,0.048223350253807105,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,3,788,43,0.05456852791878172,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,4,788,30,0.03807106598984772,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,5,788,19,0.024111675126903553,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,6,788,27,0.03426395939086294,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,7,788,13,0.01649746192893401,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,8,788,17,0.021573604060913704,0.03438213651357523,0.03438213651357523,0.03438213651357523
dummy_prior,calibrated,9,789,18,0.022813688212927757,0.03438213651357523,0.03438213651357523,0.03438213651357523
logistic_regression,raw,0,789,9,0.011406844106463879,0.017641567974697476,7.195960189730108e-14,0.023509757492273502
logistic_regression,raw,1,788,14,0.017766497461928935,0.027785695854818045,0.023524591358362882,0.032149532361526054
